,open,high,low,close,prev_close,volume,turnover,vwap,trades,daily_return,log_return,price_range,volatility_30d,volatility_90d,decade,year,month,RSI,PE_Ratio,SMA_50,SMA_100,SMA_200,EMA_20,EMA_50,RSI_14,BB_mid,BB_upper,BB_lower,BB_width,BB_squeeze,MACD,MACD_signal,MACD_hist
1994-11-22,381.0,381.25,370.0,371.0,378.25,27700.0,10321387.5,372.61,,-0.0191672174487772,-0.0193532900610301,11.25,,,1990s,1994,11,,,,,,383.4726911808998,389.4347575559098,34.413553160793256,,,,,False,-5.307416997100006,-4.537065337702904,-0.770351659397102
1994-11-23,375.0,375.0,367.0,367.25,371.0,25300.0,9345100.0,369.37,,-0.0101078167115903,-0.0101592475534484,8.0,,,1990s,1994,11,,,,,,381.92767297319506,388.5647670635212,32.23269248503577,,,,,False,-5.93418879404453,-4.816490028971229,-1.1176987650733015
1994-11-24,370.0,379.0,369.0,378.0,367.25,54500.0,20394975.0,374.22,,0.0292716133424097,0.0288513805656009,10.0,,,1990s,1994,11,,,,,,381.55360888050984,388.15046247279486,43.32136737287767,,,,,False,-5.500073378043339,-4.953206698785651,-0.546866679257688
1994-11-25,381.0,384.0,378.0,379.5,378.0,36900.0,14058137.5,380.98,,0.0039682539682539,0.0039604012160969,6.0,,,1990s,1994,11,,,,,,381.358027082366,387.81122865033234,44.6815490128463,,,,,False,-4.977617443819668,-4.958088847792455,-0.019528596027212686
1994-11-28,377.5,385.0,374.0,383.0,379.5,6000.0,2288825.0,381.47,,0.0092226613965744,0.0091803923449613,11.0,,,1990s,1994,11,,,,,,381.514405455474,387.622553016986,47.827696136437865,,,,,False,-4.232358607105198,-4.812942799655003,0.5805841925498054
1994-11-29,385.0,387.0,380.0,380.5,383.0,77400.0,29635562.5,382.89,,-0.0065274151436031,-0.0065488118789054,7.0,,,1990s,1994,11,,,,,,381.41779541209553,387.3432372123983,45.822997213083035,,,,,False,-3.7996645486296643,-4.610287149449936,0.8106226008202713
1994-11-30,382.0,382.0,379.0,380.25,380.5,21950.0,8356250.0,380.69,,-0.0006570302233902,-0.0006572461623382,3.0,,,1990s,1994,11,,,,,,381.3065768014198,387.0650710472063,45.617085093176605,,,,,False,-3.4373012316061136,-4.375689965881172,0.9383887342750583
1994-12-01,378.5,381.75,378.0,379.0,380.25,42800.0,16267050.0,380.07,,-0.0032873109796186,-0.0032927260569758,3.75,,,1990s,1994,12,,,,,,381.08690282033217,386.74879375123743,44.539386451916265,379.8,400.11242813752466,359.48757186247536,40.6248562750493,True,-3.213941923606342,-4.143340357426206,0.9293984338198644
1994-12-02,376.75,377.0,372.5,374.25,379.0,10700.0,4012387.5,374.99,,-0.0125329815303429,-0.0126121817826885,4.5,,,1990s,1994,12,,,,,,380.43576921839576,386.25864497667914,40.61291662701102,378.7125,397.6558191945145,359.76918080548546,37.88663838902903,True,-3.381236574904449,-3.990919600921855,0.609683026017406
1994-12-05,373.5,382.5,369.5,380.25,374.25,55800.0,21084212.5,377.85,,0.0160320641282565,0.0159049078396645,13.0,,,1990s,1994,12,,,,,,380.4180769118819,386.0230118403388,46.972144955553865,377.95,395.2001716238601,360.69982837613986,34.50034324772025,True,-2.995142793728917,-3.7917642394832676,0.7966214457543508
1994-12-06,378.0,380.0,371.0,372.5,380.25,47800.0,17975962.5,376.07,,-0.0203813280736357,-0.020591893319788,9.0,,,1990s,1994,12,,,,,,379.6639743488455,385.4926976505216,40.882585059731326,376.775,391.9215646617518,361.62843533824815,30.29312932350365,True,-3.27674860285083,-3.6887611121567803,0.4120125093059501
1994-12-07,373.0,373.0,364.0,366.25,372.5,40950.0,15106675.0,368.91,,-0.0167785234899329,-0.0169208774883371,9.0,,,1990s,1994,12,,,,,,378.3864529822888,384.7380820563835,36.745343969451675,375.7375,390.7773374501294,360.69766254987064,30.079674900258738,True,-3.958613568939427,-3.7427316035133096,-0.21588196542611726
1994-12-08,363.5,363.5,359.0,361.0,366.25,29900.0,10796175.0,361.08,,-0.014334470989761,-0.014438201998396,4.5,,,1990s,1994,12,,,,,,376.7306003173089,383.80717687770186,33.66359705672255,374.7625,390.9842162762565,358.54078372374346,32.44343255251306,True,-4.8665292709298456,-3.9674911369966166,-0.899038133933229
1994-12-09,360.0,365.0,358.5,363.0,361.0,48600.0,17618050.0,362.51,,0.005540166204986,0.0055248759319698,6.5,,,1990s,1994,12,,,,,,375.4229240966128,382.9912091570077,35.870129861663955,374.275,391.31666720284807,357.2333327971519,34.08333440569618,True,-5.3628560543020285,-4.246564120457699,-1.1162919338443293
1994-12-12,355.0,355.5,344.0,347.0,363.0,54750.0,19063100.0,348.18,,-0.0440771349862259,-0.0450780543179915,11.5,,,1990s,1994,12,,,,,,372.7159789445544,381.57978919006626,27.880399356090408,373.55,393.80989037222895,353.2901096277711,40.519780744457876,True,-6.966954177407899,-4.79064213184774,-2.1763120455601594
1994-12-13,345.0,346.0,329.0,332.75,347.0,55800.0,18709175.0,335.29,,-0.0410662824207492,-0.0419333226716381,17.0,,,1990s,1994,12,,,,,,368.90969523554924,379.6648954963382,22.97258046243249,372.125,398.96737615962365,345.28262384037635,53.68475231924731,False,-9.281082858731224,-5.688730277224437,-3.5923525815067876
1994-12-14,333.0,342.5,332.25,336.5,332.75,107100.0,36209625.0,338.09,,0.0112697220135236,0.0112066918095614,10.25,,,1990s,1994,12,,,,,,365.82305759406836,377.97215449648183,26.632683079095457,370.2625,401.4480546012809,339.0769453987191,62.3711092025618,False,-10.68923401522403,-6.688831024824356,-4.0004029903996745
1994-12-15,336.0,347.0,336.0,344.75,336.5,84000.0,28523985.0,339.57,,0.0245170876671618,0.0242213675886286,11.0,0.3208985801136125,,1990s,1994,12,,,,,,363.8160997279666,376.6693249083845,34.05650027071755,368.125,400.1839506345649,336.0660493654351,64.11790126912979,False,-11.012552055037759,-7.553575230867037,-3.4589768241707217
1994-12-16,345.0,350.0,342.75,344.0,344.75,65750.0,22758182.5,346.13,,-0.0021754894851341,-0.0021778593000128,7.25,0.3207005938125762,,1990s,1994,12,,,,,,361.9288521348269,375.3881749119773,33.72243177998665,365.95,398.374649492891,333.52535050710895,64.84929898578207,False,-11.200193800703346,-8.2828989448343,-2.917294855869047
1994-12-19,345.0,345.0,338.0,338.5,344.0,26200.0,8927947.5,340.76,,-0.0159883720930232,-0.0161175650210686,7.0,0.3222514924741286,,1990s,1994,12,,,,,,359.69753288389103,373.94157981738994,31.29785375511041,363.9625,398.0433925476153,329.8816074523846,68.1617850952307,False,-11.65831546695756,-8.95798224925895,-2.70033321769861
1994-12-20,342.0,342.0,337.5,339.5,338.5,26450.0,8971345.0,339.18,,0.0029542097488921,0.0029498546464211,4.5,0.322572868434106,,1990s,1994,12,,,,,,357.77395832352045,372.5909296284727,32.25161185822418,362.3875,397.9770737984861,326.79792620151386,71.17914759697226,False,-11.804612322661455,-9.527308263939453,-2.2773040587220024
1994-12-21,337.0,344.0,337.0,343.0,339.5,34100.0,11656512.5,341.83,,0.0103092783505154,0.010256500167189,7.0,0.3209299973371418,,1990s,1994,12,,,,,,356.36691467366137,371.4305010155914,35.620364900156886,361.175,397.70692547549834,324.6430745245017,73.06385095099665,False,-11.505504590547332,-9.92294752926103,-1.5825570612863018
