,Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,Cumulative_Return_%,MA_20,MA_50
28,1994-12-22,RELIANCE,342.0,342.0,339.0,340.0,343.0,15700,5341605.0,340.23,,-0.8746355685131195,-10.982737069693613,359.275,
29,1994-12-23,RELIANCE,339.0,345.5,338.5,344.75,340.0,35150,12051612.5,342.86,,1.397058823529412,-9.7391135434614,357.5375,
30,1994-12-26,RELIANCE,339.0,344.75,338.55,339.0,344.75,37050,12617067.5,340.54,,-1.6678752719361856,-11.244552548900401,355.3375,
31,1994-12-27,RELIANCE,340.0,340.0,336.35,337.75,339.0,7450,2515897.5,337.7,,-0.3687315634218289,-11.57182189790889,353.2,
0,1994-12-27,RELIANCE,340.0,340.0,336.35,337.75,339.0,7450,2515897.5,337.7,,-0.3687315634218289,-11.897884501530172,351.075,
1,1994-12-28,RELIANCE,340.5,340.5,339.25,339.25,337.75,7650,2598205.0,339.63,,0.44411547002220575,-11.506609377184631,349.0875,
2,1994-12-29,RELIANCE,339.5,339.75,338.75,339.2,339.25,3150,1068075.0,339.07,,-0.014738393515110205,-11.51965188132948,347.335,
3,1994-12-30,RELIANCE,339.0,341.5,339.0,341.2,339.2,14750,5022347.5,340.5,,0.589622641509434,-10.997951715535436,345.3825,
265,1995-01-02,RELIANCE,341.0,343.0,340.5,341.2,341.2,13600,4647010.0,341.69,,0.0,-10.997951715535436,343.8175,
266,1995-01-03,RELIANCE,342.5,342.5,336.1,336.2,341.2,11450,3878752.5,338.76,,-1.4654161781946073,-12.30220213002056,342.315,
267,1995-01-04,RELIANCE,339.95,340.5,330.3,332.0,336.2,62600,20911287.5,334.05,,-1.2492563950029711,-13.397772478188045,340.865,
268,1995-01-05,RELIANCE,332.0,333.0,320.25,321.3,332.0,59200,19280345.0,325.68,,-3.222891566265057,-16.18886836518621,338.78000000000003,
269,1995-01-06,RELIANCE,323.0,323.5,315.0,316.75,321.3,88550,28178457.5,318.22,,-1.416122004357302,-17.375736242367665,337.26750000000004,
270,1995-01-09,RELIANCE,319.25,319.25,299.0,302.35,316.75,264800,79692617.5,300.95,,-4.546172059984207,-21.13197743608481,335.7475,
271,1995-01-10,RELIANCE,303.0,303.0,283.0,287.35,302.35,351750,101150962.5,287.56,,-4.961137754258309,-25.044728679540157,333.29,
272,1995-01-11,RELIANCE,290.0,300.0,280.0,295.25,287.35,168000,48507772.5,288.74,,2.749260483730634,-22.984013024653677,330.815,355.811
273,1995-01-12,RELIANCE,294.0,297.5,277.5,278.25,295.25,375850,106357107.5,282.98,,-5.75783234546994,-27.418464433903083,327.52750000000003,353.45599999999996
274,1995-01-13,RELIANCE,280.0,288.5,279.0,286.3,278.25,169700,48356342.5,284.95,,2.8930817610062936,-25.318621266582042,324.9175,351.272
275,1995-01-16,RELIANCE,288.0,294.0,282.0,284.1,286.3,149800,43253980.0,288.74,,-0.7684247293049209,-25.892491448955496,322.1475,349.034
276,1995-01-17,RELIANCE,285.0,286.0,275.05,277.3,284.1,255950,71133542.5,277.92,,-2.3935234072509717,-27.666272012655256,318.8625,346.84
277,1995-01-18,RELIANCE,279.25,284.7,278.0,283.35,277.3,88500,24963475.0,282.07,,2.1817526144969386,-26.08812901112826,316.03000000000003,344.897
278,1995-01-19,RELIANCE,282.0,287.5,282.0,283.95,283.35,64350,18378380.0,285.6,,0.2117522498676428,-25.931618961390043,312.99,343.121
279,1995-01-20,RELIANCE,284.0,285.45,271.0,272.5,283.95,165400,45770670.0,276.73,,-4.032400070434932,-28.91835241056097,309.665,341.341
280,1995-01-23,RELIANCE,274.5,274.5,250.3,251.7,272.5,175050,44793455.0,255.89,,-7.633027522935784,-34.34403413481907,305.3625,339.15
281,1995-01-24,RELIANCE,250.0,251.75,235.15,246.4,251.7,287400,69264800.0,241.0,,-2.10568136670639,-35.72653957417329,300.79499999999996,336.603
282,1995-01-25,RELIANCE,245.0,250.0,238.0,242.5,246.4,372400,90978380.0,244.3,,-1.58279220779221,-36.743854897471685,295.9575,333.70300000000003
283,1995-01-27,RELIANCE,245.0,261.0,242.0,256.2,242.5,316250,79687285.0,251.98,,5.64948453608247,-33.17020876178246,291.8075,331.077
284,1995-01-30,RELIANCE,250.0,269.0,248.0,267.95,256.2,425600,110926380.0,260.64,,4.586260733801717,-30.105220287742412,288.14500000000004,328.871
285,1995-01-31,RELIANCE,265.0,276.65,264.0,272.45,267.95,301000,81839462.5,271.89,,1.6794178018286994,-28.931394914705805,284.7075,326.9
286,1995-02-01,RELIANCE,275.0,279.0,257.1,261.05,272.45,387250,103804752.5,268.06,,-4.1842539915580765,-31.90508585973187,280.95,324.776
287,1995-02-02,RELIANCE,259.0,275.9,254.0,274.75,261.05,439600,117200007.5,266.61,,5.248036774564255,-28.331439724042653,278.0875,322.711
288,1995-02-03,RELIANCE,274.0,282.55,268.5,279.05,274.75,409200,113294867.5,276.87,,1.565059144676983,-27.209784367585456,275.975,320.702
289,1995-02-06,RELIANCE,280.0,281.0,266.5,269.8,279.05,276000,75077712.5,272.02,,-3.314818132951084,-29.62264763438293,273.62749999999994,318.438
290,1995-02-07,RELIANCE,270.0,270.0,262.0,267.8,269.8,323800,85776395.0,264.91,,-0.7412898443291327,-30.144347800176973,271.9,316.184
291,1995-02-08,RELIANCE,267.75,268.7,264.0,266.6,267.8,140300,37405362.5,266.61,,-0.4480955937266574,-30.45736789965339,270.8625,313.911
292,1995-02-09,RELIANCE,267.0,277.5,264.0,276.25,266.6,359150,97903242.5,272.6,,3.6196549137284233,-27.940164599697127,269.9125,311.856
238,1995-02-10,RELIANCE,279.0,281.0,268.0,269.85,276.25,249550,68386137.5,274.04,,-2.3167420814479556,-29.609605130238066,269.4925,309.768
293,1995-02-10,RELIANCE,279.0,281.0,268.0,269.85,276.25,249550,68386137.5,274.04,,-2.3167420814479556,-31.240369029483233,268.66999999999996,307.56
239,1995-02-13,RELIANCE,270.0,270.0,262.0,268.65,269.85,210700,56009110.0,265.82,,-0.44469149527516966,-31.546137260591706,267.89750000000004,305.483
240,1995-02-14,RELIANCE,269.8,274.0,265.1,270.05,268.65,200400,54331950.0,271.12,,0.5211241392146042,-31.18940765763182,267.53499999999997,303.559
241,1995-02-15,RELIANCE,271.0,274.7,262.5,264.95,270.05,248100,66520210.0,268.12,,-1.8885391594149314,-32.488922639842826,266.61499999999995,301.638
242,1995-02-16,RELIANCE,265.0,265.9,255.5,256.45,264.95,202000,52235665.0,258.59,,-3.2081524816003024,-34.65478094352781,265.24,299.507
243,1995-02-17,RELIANCE,257.0,261.7,250.0,255.45,256.45,253000,64293800.0,254.13,,-0.38993955936829794,-34.90958780278487,264.3875,297.676
244,1995-02-20,RELIANCE,255.0,258.0,252.0,253.25,255.45,119450,30340845.0,254.0,,-0.8612252887062003,-35.47016289315039,264.46500000000003,296.086
245,1995-02-21,RELIANCE,256.0,256.0,240.3,242.5,253.25,291650,71752495.0,246.02,,-4.244817374136229,-38.20933663016376,264.27000000000004,294.20599999999996
246,1995-02-22,RELIANCE,243.5,245.0,237.25,240.75,242.5,249500,60214355.0,241.34,,-0.7216494845360825,-38.65524863386361,264.1825,292.126
247,1995-02-23,RELIANCE,250.0,268.5,250.0,266.6,240.75,625850,163345252.5,261.0,,10.737279335410186,-32.068491322068695,264.7025,290.578
248,1995-02-24,RELIANCE,272.0,282.0,265.0,266.7,266.6,624650,171360515.0,274.33,,0.03750937734432329,-32.043010636142995,264.64,289.142
249,1995-02-28,RELIANCE,263.5,287.0,258.0,271.75,266.7,561600,148373525.0,264.2,,1.8935133108361497,-30.75623599689486,264.605,287.78700000000003
250,1995-03-01,RELIANCE,275.0,282.4,275.0,281.6,271.75,669000,187003807.5,279.53,,3.6246550137994564,-28.246388433212843,265.6325,286.559
251,1995-03-02,RELIANCE,287.0,291.5,277.0,278.2,281.6,630450,178082310.0,282.47,,-1.2073863636363755,-29.11273175468685,265.805,285.323
252,1995-03-03,RELIANCE,279.75,287.0,276.0,285.5,278.2,562200,159534080.0,283.77,,2.6240115025161797,-27.252641682110323,266.12749999999994,284.138
253,1995-03-06,RELIANCE,286.0,286.5,279.5,284.05,285.5,295750,83909347.5,283.72,,-0.5078809106830083,-27.622111628033053,266.84000000000003,283.039
254,1995-03-07,RELIANCE,281.1,283.0,271.0,272.9,284.05,444500,123254922.5,277.29,,-3.925365252596386,-30.463208108749257,267.095,281.742
255,1995-03-08,RELIANCE,274.6,282.25,272.35,279.5,272.9,454050,126346745.0,278.27,,2.4184683034078502,-28.78148283765266,267.74,280.577
256,1995-03-09,RELIANCE,281.0,289.9,279.5,289.35,279.5,493400,140891382.5,285.55,,3.5241502683363226,-26.271635273970645,268.395,279.579
257,1995-03-10,RELIANCE,292.0,297.0,284.0,286.45,289.35,442600,127651315.0,288.41,,-1.0022464143770637,-27.01057516581612,269.225,278.524
258,1995-03-13,RELIANCE,282.0,282.0,250.0,267.05,286.45,938950,253551795.0,270.04,,-6.772560656309993,-31.95382823540301,269.085,277.041
259,1995-03-14,RELIANCE,266.0,279.0,266.0,274.35,267.05,577450,158417705.0,274.34,,2.7335704924171544,-30.093738162826497,269.37,275.70399999999995
260,1995-03-15,RELIANCE,285.0,290.0,260.0,269.1,274.35,1928600,532004230.0,275.85,,-1.913613996719519,-31.43147417392605,269.32250000000005,274.362
261,1995-03-16,RELIANCE,265.05,270.0,252.0,266.95,269.1,1025750,269478892.5,262.71,,-0.798959494611681,-31.979308921328737,269.4225,273.06100000000004
262,1995-03-20,RELIANCE,255.0,267.25,255.0,260.4,266.95,432800,113267077.5,261.71,,-2.453643004307927,-33.64829384946245,269.62,271.843
263,1995-03-21,RELIANCE,254.0,261.4,250.0,251.85,260.4,738400,189214905.0,256.25,,-3.283410138248841,-35.82689249611029,269.44,270.545
264,1995-03-22,RELIANCE,262.0,262.0,256.4,258.05,251.85,297650,76962457.5,258.57,,2.4617828072265304,-34.24708996871652,269.68,269.659
212,1995-03-22,RELIANCE,262.0,262.0,256.4,258.05,251.85,297650,76962457.5,258.57,,2.4617828072265304,-32.62839613431527,270.4575,269.07300000000004
213,1995-03-23,RELIANCE,260.0,264.5,256.75,258.75,258.05,224950,58701310.0,260.95,,0.2712652586707958,-32.44564037881834,271.35749999999996,268.343
214,1995-03-24,RELIANCE,256.0,261.9,254.8,259.75,258.75,339350,87544082.5,257.98,,0.3864734299516908,-32.184560728108465,271.015,267.973
215,1995-03-27,RELIANCE,264.75,264.75,258.0,261.4,259.75,307700,80290572.5,260.94,,0.635226179018278,-31.753779304437174,270.75,267.475
216,1995-03-28,RELIANCE,263.85,274.45,263.25,267.8,261.4,559350,149812697.5,267.83,,2.4483550114766772,-30.082869539893935,270.55249999999995,267.149
217,1995-03-29,RELIANCE,268.5,270.85,265.8,269.25,267.8,269800,72298345.0,267.97,,0.5414488424197119,-29.704304046364598,269.93500000000006,266.988
218,1995-03-30,RELIANCE,268.0,270.9,266.65,267.55,269.25,249450,66942595.0,268.36,,-0.6313834726090951,-30.1481394525714,269.4025,266.672
219,1995-03-31,RELIANCE,267.5,267.75,262.0,265.45,267.55,408100,107687747.5,263.88,,-0.7849000186881042,-30.696406719062153,268.4,266.302
220,1995-04-03,RELIANCE,267.0,268.95,262.0,268.15,265.45,285800,76130637.5,266.38,,1.0171407044641134,-29.991491662145492,267.605,266.215
221,1995-04-04,RELIANCE,270.0,278.5,268.5,277.05,268.15,471100,129013707.5,273.86,,3.3190378519485497,-27.667882770827532,267.8125,266.722
222,1995-04-05,RELIANCE,278.25,284.0,278.25,281.55,277.05,455550,128481557.5,282.04,,1.6242555495397941,-26.493024342633063,267.91499999999996,267.425
223,1995-04-06,RELIANCE,283.0,288.05,282.0,284.65,281.55,399450,113871840.0,285.07,,1.1010477712661928,-25.68367742543245,267.68,268.268
224,1995-04-07,RELIANCE,285.0,287.4,282.25,282.75,284.65,327400,93034440.0,284.16,,-0.6674863867907878,-26.17972876178122,267.495,268.799
225,1995-04-10,RELIANCE,282.0,282.25,277.0,279.75,282.75,282250,78866122.5,279.42,,-1.0610079575596816,-26.962967713910857,268.13,269.035
226,1995-04-11,RELIANCE,278.75,280.0,275.0,275.8,279.75,325750,90261020.0,277.09,,-1.4119749776586197,-27.99423233421487,268.2025,269.10200000000003
227,1995-04-12,RELIANCE,278.75,281.0,278.0,280.7,275.8,233750,65405050.0,279.81,,1.7766497461928852,-26.71494204573645,268.78249999999997,269.495
228,1995-04-17,RELIANCE,284.0,286.0,281.9,282.3,280.7,262750,74526817.5,283.64,,0.5700035625222739,-26.29721460460064,269.55,269.646
229,1995-04-18,RELIANCE,279.75,281.95,275.65,278.0,282.3,288200,80239627.5,278.42,,-1.5232022670917504,-27.41985710265314,270.43,269.625
230,1995-04-19,RELIANCE,276.0,282.0,274.25,276.8,278.0,380750,105436332.5,276.92,,-0.43165467625898873,-27.733152683504983,271.67749999999995,269.765
