Model,RMSE,MAE,MAPE,AIC
"ARIMA(2, 1, 2)",1612.79,1441.52,106.76,11913.08
"SARIMA(2, 1, 2)x(1,1,1,5)",2020.18,1812.56,133.39,11801.41
